Player,Season,G,GS,MP,FGM,FGA,FGP,X3PM,X3PA,X3PP,X2PM,X2PA,X2PP,EFG,FTM,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS,X3PAR,FTR,ORBP,DRBP,TRBP,ASTP,STLP,BLKP,TOVP,USG,OWS,DWS,WS,WS48,OBPM,DBPM,BPM,VORP
Aaron Gordon,2021.0,-14.0,-14.0,-4.600000000000001,-0.7000000000000002,-2.3000000000000007,0.025000000000000022,0.0,-0.19999999999999973,0.029000000000000026,-0.7000000000000002,-2.0,0.03600000000000003,0.038000000000000034,-0.3999999999999999,-0.5,-0.028000000000000025,-0.09999999999999987,-1.6000000000000005,-1.9000000000000004,-0.40000000000000036,-0.10000000000000009,0.09999999999999998,0.3999999999999999,-0.19999999999999996,-1.9000000000000004,-0.5,0.031000000000000028,0.045999999999999985,0.01100000000000001,0.5,-3.6000000000000014,-1.5,0.5,0.0,0.7,4.5,0.1999999999999993,-0.7999999999999999,-1.0999999999999999,-1.9000000000000001,-0.021999999999999992,0.4,-0.30000000000000004,0.1,-0.30000000000000004
Aaron Holiday,2021.0,0.0,-25.0,-6.699999999999999,-0.8999999999999999,-1.9000000000000004,-0.023999999999999966,-0.30000000000000004,-0.5,-0.026000000000000023,-0.6000000000000001,-1.4000000000000004,-0.020999999999999963,-0.023999999999999966,-0.10000000000000009,0.0,-0.03200000000000003,-0.09999999999999998,-0.8999999999999999,-1.0999999999999999,-1.5,-0.10000000000000009,0.0,-0.30000000000000004,-0.40000000000000013,-2.3,-2.299999999999999,-0.018000000000000016,0.023999999999999966,0.035,-0.10000000000000009,-2.2,-1.2000000000000002,-5.000000000000002,0.19999999999999996,0.0,-0.5,0.8000000000000007,-1.0,-0.7999999999999999,-1.8,-0.052000000000000005,-1.6,-1.0,-2.4999999999999996,-0.8
Abdel Nader,2021.0,-31.0,-6.0,-1.0,0.19999999999999973,0.0,0.022999999999999965,-0.09999999999999998,-0.4999999999999998,0.043999999999999984,0.20000000000000018,0.5,-0.02200000000000002,0.009999999999999898,0.29999999999999993,0.30000000000000004,-0.016000000000000014,0.0,0.6999999999999997,0.8,0.10000000000000009,0.0,0.0,0.0,0.0,0.40000000000000036,2.0999999999999996,0.014000000000000012,-0.11599999999999999,0.068,0.4999999999999998,6.700000000000001,3.5,1.0,0.09999999999999987,0.2999999999999998,-0.20000000000000107,2.0,-0.2,-0.5,-0.6000000000000001,0.021000000000000005,-0.09999999999999987,0.6000000000000001,0.6,0.0
Al Horford,2021.0,-39.0,-33.0,-2.3000000000000007,1.0,2.3000000000000007,0.0,0.5,1.2000000000000002,0.018000000000000016,0.5,1.0,-0.006000000000000005,0.008000000000000007,-0.30000000000000004,-0.3999999999999999,0.05499999999999994,-0.5,0.40000000000000036,-0.09999999999999964,-0.6000000000000001,0.09999999999999998,0.0,-0.19999999999999996,-0.40000000000000013,2.299999999999999,1.6999999999999993,0.0020000000000000018,0.022999999999999965,-0.052000000000000005,-1.7999999999999998,2.1999999999999993,0.09999999999999964,1.0,0.30000000000000004,0.3999999999999999,-2.3999999999999995,4.100000000000001,-2.0999999999999996,-1.7000000000000002,-3.8000000000000003,-0.027999999999999997,0.5999999999999999,0.3999999999999999,1.0999999999999996,-1.2000000000000002
Alec Burks,2021.0,-20.0,-14.0,-1.3000000000000007,-0.8000000000000007,-1.5999999999999996,-0.008000000000000007,0.19999999999999996,0.20000000000000018,0.020000000000000018,-1.0,-2.0,-0.02400000000000002,0.016000000000000014,-1.5,-1.5,-0.03700000000000003,-0.29999999999999993,0.5,0.10000000000000053,-0.6999999999999997,-0.20000000000000007,0.0,-0.3999999999999999,0.10000000000000009,-2.8000000000000007,-2.3999999999999986,-0.008000000000000007,0.09299999999999997,-0.09799999999999998,-1.0999999999999999,1.9999999999999982,0.7000000000000011,-4.1,-0.3999999999999999,0.20000000000000007,-1.3000000000000007,-2.8000000000000007,-1.2,0.40000000000000013,-0.8000000000000003,0.016999999999999987,-0.7999999999999999,0.8999999999999999,0.09999999999999998,-0.40000000000000013
Alex Caruso,2021.0,-7.0,4.0,2.6000000000000014,0.3999999999999999,0.7000000000000002,0.02200000000000002,0.30000000000000004,0.3999999999999999,0.07300000000000001,0.0,0.19999999999999973,-0.01100000000000001,0.04400000000000004,-0.20000000000000007,-0.19999999999999996,-0.08899999999999997,0.2,0.7,1.0,0.8000000000000003,0.0,-0.09999999999999998,0.5,0.3999999999999999,0.7999999999999998,0.1999999999999993,0.02100000000000002,0.03600000000000003,-0.067,1.1999999999999997,3.0,2.0999999999999996,4.299999999999999,-0.19999999999999973,-0.3999999999999999,4.699999999999999,0.8999999999999986,-0.2,0.30000000000000004,0.0,-0.0010000000000000009,0.0,-0.10000000000000009,0.0,0.0
Alex Len,2021.0,6.0,27.0,-2.200000000000001,-0.5,-1.3999999999999995,0.06599999999999995,-0.19999999999999998,-0.7000000000000001,0.04899999999999999,-0.2999999999999998,-0.7000000000000002,0.03300000000000003,0.05600000000000005,0.0,0.0,-0.025000000000000022,-0.6000000000000001,-1.2000000000000002,-1.7999999999999998,-0.09999999999999998,-0.10000000000000003,0.09999999999999998,-0.09999999999999998,-0.2999999999999998,-1.2000000000000002,-1.3000000000000007,0.04700000000000004,-0.092,0.09499999999999997,-2.799999999999999,-5.899999999999999,-4.199999999999999,-0.8000000000000007,-0.30000000000000004,1.2999999999999998,1.5999999999999996,-1.6000000000000014,-0.10000000000000009,0.10000000000000009,0.0,0.007000000000000006,-0.7,0.8,0.0,0.0
Alfonzo McKinnie,2021.0,-3.0,-1.0,-8.3,-0.6000000000000001,-2.0,0.08500000000000002,0.0,-0.6000000000000001,0.20199999999999999,-0.7,-1.4000000000000001,0.025999999999999912,0.13299999999999995,-0.39999999999999997,-0.30000000000000004,-0.18099999999999994,-0.4,-1.0999999999999999,-1.4999999999999998,-0.2,-0.5,-0.2,-0.6,-1.2000000000000002,-1.5999999999999996,5.9,0.10799999999999998,0.04899999999999999,0.02100000000000002,2.5,-0.9000000000000004,0.9000000000000004,0.5,-0.8999999999999999,-1.2,-7.1000000000000005,2.3000000000000007,0.6000000000000001,0.0,0.49999999999999994,0.13299999999999998,4.6000000000000005,-0.4999999999999999,4.1,0.6
Andre Drummond,2021.0,-14.0,-13.0,-5.800000000000001,-1.2000000000000002,-1.3000000000000007,-0.04500000000000004,-0.1,-0.39999999999999997,-0.143,-1.1000000000000005,-0.7999999999999989,-0.05600000000000005,-0.04800000000000004,-0.2999999999999998,-0.7000000000000002,0.03400000000000003,-0.8000000000000003,-2.5,-3.299999999999999,-0.6000000000000001,-0.5,-0.6000000000000001,-0.8000000000000003,-0.2999999999999998,-2.6999999999999993,-2.8999999999999986,-0.03700000000000003,-0.03,-0.019000000000000017,-0.40000000000000036,-2.3999999999999986,-1.3999999999999986,0.09999999999999964,-0.19999999999999973,-0.8000000000000003,-2.1999999999999993,1.7000000000000028,-1.2,-1.2000000000000002,-2.5,-0.037000000000000005,-1.4,-0.5000000000000001,-1.8,-1.0999999999999999
Andre Iguodala,2021.0,40.0,5.0,1.3000000000000007,-0.30000000000000004,-0.20000000000000018,-0.04799999999999999,0.30000000000000004,0.7999999999999998,0.03500000000000003,-0.5000000000000001,-0.8999999999999999,-0.061999999999999944,-0.0050000000000000044,0.10000000000000003,-0.09999999999999998,0.258,-0.20000000000000007,0.0,-0.20000000000000018,-0.10000000000000009,0.20000000000000007,-0.5,-0.19999999999999996,-0.30000000000000004,-0.09999999999999964,-1.0,0.015000000000000013,0.20099999999999996,-0.015000000000000013,-1.5,-0.1999999999999993,-1.0,-2.3999999999999986,0.6000000000000001,-2.3,-2.400000000000002,-1.3999999999999986,0.0,1.2000000000000002,1.2000000000000002,0.0010000000000000009,-0.5,0.40000000000000013,0.0,0.3
