"","Player","Season","Pos","Age","Tm","G","GS","MP","FGM","FGA","FGP","X3PM","X3PA","X3PP","X2PM","X2PA","X2PP","EFG","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","X3PAR","FTR","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USG","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","MVP","DPOY"
"146","James Ennis",2021,"SF",30,"ORL",41,37,24,2.8,5.9,0.473,1.1,2.5,0.433,1.7,3.4,0.504,0.566,1.7,2.1,0.805,1,3,4,1.5,0.8,0.2,0.9,2,8.4,12.5,0.613,0.428,0.358,4.4,13.4,8.7,9.2,1.6,0.6,11.3,13.9,1.3,0.7,2,0.099,-1.9,-0.2,-2.1,0,0,0
"147","Drew Eubanks",2021,"C",23,"SAS",50,2,13.9,2.1,3.7,0.568,0,0,1,2,3.6,0.564,0.574,1.4,1.9,0.708,1.2,3,4.3,0.8,0.3,0.9,0.8,1.6,5.6,17.4,0.617,0.011,0.525,9.2,23.6,16.3,8.1,1.2,5.7,15.1,16.6,1,1.1,2.1,0.144,-1.3,1.4,0.1,0.4,0,0
"148","Dante Exum",2021,"SG",25,"CLE",6,3,19.3,1.7,4.3,0.385,0.3,1.8,0.182,1.3,2.5,0.533,0.423,0.2,0.3,0.5,0.3,2.5,2.8,2.2,0.7,0.3,1.2,1.5,3.8,5.9,0.428,0.423,0.077,1.9,14.9,8.2,15.8,1.7,1.5,20.7,12.7,-0.2,0.1,-0.1,-0.025,-4.8,1.7,-3.1,0,0,0
"149","Tacko Fall",2021,"C",25,"BOS",17,0,6.6,1.2,1.6,0.741,0,0,0,1.2,1.6,0.741,0.741,0.2,0.8,0.308,0.7,1.8,2.5,0.1,0.1,1,0.2,1.1,2.6,21.5,0.672,0,0.481,11.9,31.1,21.5,2.6,0.4,14.2,10.9,14.1,0.2,0.2,0.5,0.195,-0.7,2.7,2,0.1,0,0
"150","Derrick Favors",2021,"C",29,"UTA",65,0,15.4,2.2,3.5,0.63,0,0,0,2.2,3.5,0.636,0.63,0.9,1.2,0.738,2.1,3.4,5.5,0.7,0.5,1,0.5,2.1,5.4,19.4,0.658,0.009,0.348,14.9,22.8,19,6,1.5,5.3,11.7,13,2.8,2.1,4.9,0.233,0.1,1.7,1.8,1,0,0
"151","Cristiano Felicio",2021,"C",28,"CHI",16,0,3.9,0.3,0.4,0.571,0,0.1,0,0.3,0.4,0.667,0.571,0.4,0.6,0.6,0.4,0.5,0.9,0.6,0.1,0,0.3,0.5,0.9,11.7,0.614,0.143,1.429,10.7,14,12.3,17.6,1.5,0,26,10.6,0.1,0.1,0.2,0.121,-2,0.9,-1.1,0,0,0
"152","Terrance Ferguson",2021,"SG",22,"PHI",13,0,3.8,0.1,0.5,0.143,0,0.4,0,0.1,0.2,0.5,0.143,0,0,0,0,0.1,0.1,0.2,0.1,0,0.3,0.5,0.2,-7.1,0.143,0.714,0,0,2.2,1.1,4.9,1,0,36.4,9.6,-0.2,0,-0.2,-0.159,-12.1,-2.7,-14.8,-0.2,0,0
"153","Bruno Fernando",2021,"C",22,"ATL",31,0,6.5,0.5,1.1,0.412,0,0.1,0,0.5,1,0.438,0.412,0.4,0.6,0.65,0.5,1.7,2.2,0.3,0.1,0.1,0.7,0.7,1.3,5,0.479,0.059,0.588,8.4,28.5,18.6,5.8,0.5,1.3,32.9,13.8,-0.4,0.2,-0.2,-0.04,-6.3,-1.2,-7.6,-0.3,0,0
"154","Yogi Ferrell",2021,"PG",27,"TOT",7,0,10.9,1.7,4.9,0.353,0.9,2.3,0.375,0.9,2.6,0.333,0.441,0.4,0.7,0.6,0.4,0.7,1.1,2.3,0.6,0.1,0.4,0.7,4.7,14.6,0.456,0.471,0.147,4.3,7.5,5.9,30.1,2.6,1.2,7.7,22.6,0,0.1,0.1,0.076,0.8,-0.1,0.7,0.1,0,0
"155","Dorian Finney-Smith",2021,"PF",27,"DAL",57,57,32.2,3.6,7.8,0.459,1.9,5.1,0.383,1.6,2.7,0.604,0.584,0.5,0.7,0.769,1.7,3.8,5.5,1.7,0.9,0.4,0.8,2.3,9.6,11.8,0.595,0.653,0.088,5.8,12.9,9.4,7.2,1.4,1.3,8.9,12.2,2.5,1.6,4.1,0.107,-0.1,-0.1,-0.2,0.8,0,0
"156","Malik Fitts",2021,"PF",23,"LAC",3,0,3.7,0.3,1,0.333,0.3,0.7,0.5,0,0.3,0,0.5,0,0,0,0,1,1,0,0,0,0,1,1,2.9,0.5,0.667,0,0,29.8,15.3,0,0,0,0,12.1,0,0,0,0.049,-9.6,-0.6,-10.2,0,0,0
"157","Malachi Flynn",2021,"PG",22,"TOR",44,11,18.3,2.3,6.3,0.371,1,3.1,0.321,1.3,3.2,0.418,0.45,0.8,1,0.81,0.2,2.1,2.3,2.7,0.8,0.1,0.9,1.4,6.5,10.3,0.479,0.493,0.151,1.2,13.2,7,21.4,2,0.7,11.6,18.1,-0.1,0.7,0.6,0.038,-3.1,0.1,-3,-0.2,0,0
"158","Bryn Forbes",2021,"SG",27,"MIL",68,10,19.4,3.6,7.6,0.471,2.2,4.9,0.45,1.4,2.7,0.508,0.616,0.7,0.9,0.776,0.2,1.5,1.6,0.6,0.4,0,0.6,1.1,10,12.8,0.628,0.644,0.113,0.9,7.8,4.4,4.5,0.9,0.1,7.1,18.4,1.9,0.7,2.7,0.097,0.4,-1.8,-1.4,0.2,0,0
"159","Trent Forrest",2021,"PG",22,"UTA",27,0,9.6,1,2,0.491,0.1,0.7,0.15,0.9,1.3,0.686,0.518,0.6,0.6,1,0.2,1.1,1.3,1.6,0.3,0.1,0.6,0.6,2.7,11.8,0.592,0.364,0.309,2.2,11.4,7,21.6,1.3,1.3,21.4,13.3,0.3,0.3,0.7,0.122,-2.6,1,-1.7,0,0,0
"160","Evan Fournier",2021,"SF-SG",28,"TOT",40,34,30,5.9,12.8,0.461,2.7,6.7,0.41,3.2,6.1,0.516,0.568,2.7,3.4,0.793,0.2,2.9,3.1,3.4,1.1,0.5,1.8,2.3,17.2,16.9,0.602,0.522,0.265,0.8,10.4,5.5,18.6,1.8,1.4,10.9,23,1.8,0.9,2.8,0.11,1.2,-0.2,1,0.9,0,0
"161","De'Aaron Fox",2021,"PG",23,"SAC",58,58,35.1,9.1,19.1,0.477,1.8,5.5,0.322,7.3,13.6,0.539,0.523,5.2,7.2,0.719,0.6,2.9,3.5,7.2,1.5,0.5,3,2.9,25.2,20.7,0.565,0.288,0.376,1.8,9.4,5.5,32.6,2.1,1.1,11.9,31,3.5,0.7,4.2,0.099,2.9,-1.5,1.4,1.7,0,0
"162","Robert Franks",2021,"PF",24,"ORL",7,0,14.4,1.9,4,0.464,0.7,2.1,0.333,1.1,1.9,0.615,0.554,1.7,1.9,0.923,0.9,1.1,2,0.7,0.4,0.4,0.3,1.1,6.1,16.5,0.638,0.536,0.464,6,8.5,7.2,7.4,1.4,2.7,5.6,15.3,0.3,0.1,0.3,0.16,0.4,-0.7,-0.3,0,0,0
"163","Tim Frazier",2021,"PG",30,"MEM",4,0,9.5,0.5,2.3,0.222,0,0.8,0,0.5,1.5,0.333,0.222,0,0,0,0,1.3,1.3,2.3,0.3,0.3,0.8,1,1,2.2,0.222,0.333,0,0,14.1,7,28.4,1.3,2.4,25,13.3,-0.1,0,-0.1,-0.09,-9.1,-1.7,-10.7,-0.1,0,0
"164","Markelle Fultz",2021,"PG",22,"ORL",8,8,26.9,5.1,13,0.394,0.5,2,0.25,4.6,11,0.42,0.413,2.1,2.4,0.895,0.6,2.5,3.1,5.4,1,0.3,2.3,2.3,12.9,12,0.458,0.154,0.183,2.3,10,6,33,1.8,0.8,13.8,26.2,-0.3,0.1,-0.1,-0.023,-2.9,-1.7,-4.6,-0.1,0,0
"165","Wenyen Gabriel",2021,"PF",23,"NOP",18,0,9.1,0.8,2.2,0.375,0.5,1.1,0.45,0.3,1.1,0.3,0.488,0.4,0.7,0.615,0.8,1.3,2.2,0.4,0.4,0.3,0.7,1.3,2.6,9.1,0.514,0.5,0.325,10,15.9,12.9,6.2,2.3,2.9,22.1,15.1,-0.1,0.2,0.1,0.032,-3.9,0.1,-3.8,-0.1,0,0
"166","Daniel Gafford",2021,"PF-C",22,"TOT",51,11,14.5,2.7,4,0.69,0,0,0,2.7,4,0.69,0.69,1.3,2,0.64,1.7,2.5,4.3,0.5,0.5,1.4,0.7,1.8,6.7,22.1,0.696,0,0.493,13.1,18.8,16,5.5,1.6,8.2,13,16.3,1.9,1.3,3.2,0.209,0.8,1.7,2.5,0.8,0,0
"167","Danilo Gallinari",2021,"PF",32,"ATL",49,4,24,4.1,9.4,0.437,2.1,5.1,0.411,2,4.3,0.467,0.548,3.2,3.5,0.924,0.3,3.8,4.1,1.5,0.6,0.2,0.9,2,13.5,16.7,0.618,0.539,0.372,1.6,17,9.5,9.4,1.2,0.7,7.4,21.4,2.7,0.9,3.6,0.147,1.8,-0.8,1.1,0.9,0,0
"168","Langston Galloway",2021,"SG",29,"PHO",38,0,10.4,1.6,3.3,0.465,0.9,1.9,0.446,0.7,1.4,0.491,0.594,0.5,0.5,0.95,0.1,0.9,1,0.6,0.2,0,0.3,0.6,4.5,12.4,0.626,0.583,0.157,1.5,9.6,5.6,8.2,1,0,8.7,16.8,0.6,0.3,0.8,0.102,0.2,-0.7,-0.5,0.1,0,0
"169","Darius Garland",2021,"PG",21,"CLE",53,50,33.5,6.8,15.1,0.452,2,5,0.394,4.8,10.1,0.48,0.517,2.1,2.5,0.848,0.4,2,2.4,6.2,1.2,0.1,3.1,2.1,17.7,14.2,0.547,0.33,0.165,1.4,6.9,4.1,30.9,1.8,0.3,16,25,0.4,0.8,1.2,0.033,0.2,-1.8,-1.6,0.1,0,0
"170","Marc Gasol",2021,"C",36,"LAL",51,42,18.9,1.7,3.7,0.458,1,2.3,0.412,0.7,1.4,0.535,0.587,0.7,1,0.72,0.7,3.4,4.1,2.1,0.5,1.1,1,2.2,5.1,12.3,0.611,0.626,0.263,4.3,19.8,12.1,14.6,1.3,5.2,19.7,11.9,0.8,1.9,2.7,0.135,-1.2,3.3,2.2,1,0,0
"171","Rudy Gay",2021,"PF",34,"SAS",60,1,21.7,4.3,10,0.426,1.7,4.4,0.387,2.6,5.6,0.457,0.511,1.3,1.6,0.789,0.7,4.1,4.8,1.4,0.7,0.6,1.1,1.9,11.4,14.8,0.536,0.436,0.159,3.4,20.6,11.8,9.7,1.6,2.5,9.1,23.6,0,1.7,1.7,0.063,-0.1,-0.2,-0.3,0.6,0,0
"172","Paul George",2021,"SF",30,"LAC",53,53,33.7,8.3,17.6,0.469,3.1,7.6,0.412,5.1,10,0.512,0.558,3.7,4.2,0.876,0.8,5.7,6.6,5.2,1.2,0.5,3.3,2.5,23.4,20.7,0.6,0.431,0.241,2.9,18.6,11,24.6,1.7,1.2,14.6,30,3,2.3,5.3,0.142,4.1,-0.3,3.8,2.6,0,0
"173","Taj Gibson",2021,"PF",35,"NYK",42,3,21,2.2,3.5,0.63,0.1,0.4,0.2,2.1,3.1,0.679,0.64,1,1.3,0.727,2.2,3.3,5.5,0.8,0.7,1,0.5,2.3,5.4,15.8,0.667,0.103,0.377,11.6,17.1,14.4,5.1,1.7,4.8,11.4,9.7,1.9,1.6,3.5,0.191,-0.8,2.1,1.2,0.7,0,0
"174","Harry Giles",2021,"C",22,"POR",37,0,9.3,1.1,2.5,0.436,0.2,0.6,0.364,0.9,1.9,0.458,0.479,0.4,0.7,0.593,0.8,2.7,3.5,0.8,0.2,0.3,0.5,1.5,2.9,12.3,0.501,0.234,0.287,9.3,32.1,20.4,11.1,1.1,3.1,15.9,15.8,0.1,0.4,0.5,0.07,-3.4,-0.2,-3.6,-0.1,0,0
"175","Shai Gilgeous-Alexander",2021,"SG",22,"OKC",35,35,33.7,8.2,16.1,0.508,2,4.9,0.418,6.2,11.3,0.547,0.571,5.3,6.5,0.808,0.5,4.2,4.7,5.9,0.8,0.7,3,2,23.7,21.6,0.623,0.301,0.405,1.7,13.2,7.3,31.4,1.1,1.7,13.7,27.8,2.7,0.8,3.5,0.142,3.8,0,3.8,1.7,0,0
"176","Anthony Gill",2021,"PF",28,"WAS",24,4,7.9,1.2,2.3,0.5,0.3,1,0.292,0.9,1.3,0.656,0.563,0.2,0.3,0.625,0.6,1.3,1.8,0.4,0.3,0.1,0.3,1,2.8,12.8,0.571,0.429,0.143,7.9,16.8,12.3,7.1,2,1.3,9.2,14.3,0.2,0.2,0.4,0.106,-1.8,-0.2,-2,0,0,0
"177","Freddie Gillespie",2021,"PF",23,"TOR",17,0,16.7,2.3,4.1,0.565,0,0,0,2.3,4.1,0.565,0.565,1.2,1.5,0.769,2,2.4,4.4,0.4,0.5,1.1,0.5,2.1,5.8,16.5,0.609,0,0.377,12.7,16.5,14.5,3.6,1.5,6.4,10.1,13.6,0.6,0.4,0.9,0.157,-1.8,0.5,-1.3,0.1,0,0
"178","Rudy Gobert",2021,"C",28,"UTA",68,68,30.9,5.5,8.1,0.675,0,0,0,5.5,8.1,0.679,0.675,3.3,5.3,0.625,3.3,10,13.3,1.3,0.6,2.7,1.7,2.3,14.3,23.3,0.683,0.005,0.644,11.9,33,22.9,6,0.9,7.1,13.9,17,5.7,4.9,10.7,0.244,1.9,2.5,4.4,3.4,0,0
"179","Brandon Goodwin",2021,"PG",25,"ATL",46,5,13.3,1.8,4.8,0.373,0.7,2.2,0.304,1.1,2.6,0.432,0.443,0.6,0.9,0.651,0.2,1.3,1.5,2.1,0.3,0,0.8,0.9,4.8,8.9,0.467,0.464,0.195,1.5,10.8,6.2,22,1.2,0,13.1,19.6,-0.2,0.3,0.1,0.005,-2.8,-1,-3.8,-0.3,0,0
"180","Aaron Gordon",2021,"PF",25,"TOT",48,48,27.9,4.7,10.1,0.462,1.2,3.6,0.337,3.5,6.5,0.53,0.522,2,3.1,0.646,1.6,4.3,5.8,3.3,0.7,0.7,2,1.8,12.5,14.6,0.547,0.355,0.303,6,16.7,11.2,17.9,1.2,2.4,14.9,20.9,0.6,1.2,1.8,0.065,0.3,-0.2,0.1,0.7,0,0
"181","Eric Gordon",2021,"SG",32,"HOU",27,13,29.2,5.9,13.6,0.433,2.6,7.8,0.329,3.3,5.8,0.573,0.527,3.5,4.2,0.825,0.3,1.9,2.1,2.6,0.5,0.5,1.9,1.6,17.8,14.5,0.577,0.572,0.311,1,7,3.9,14.6,0.8,1.5,10.9,25.2,0.6,0.2,0.8,0.048,0.9,-1.5,-0.6,0.3,0,0
"182","Devonte' Graham",2021,"PG",25,"CHO",52,44,30.1,4.6,12.3,0.378,3.3,8.7,0.377,1.4,3.6,0.382,0.512,2.3,2.8,0.826,0.4,2.3,2.7,5.4,0.9,0.1,1.6,1.4,14.8,14.6,0.55,0.708,0.226,1.4,8.5,4.9,26.4,1.5,0.4,10.5,21.5,2.2,0.9,3.2,0.098,1.5,-1.1,0.4,0.9,0,0
"183","Jerami Grant",2021,"SF",26,"DET",54,54,33.9,7.4,17.3,0.429,2.1,6.1,0.35,5.3,11.2,0.473,0.491,5.4,6.4,0.845,0.6,4,4.6,2.8,0.6,1.1,2,2.3,22.3,16.9,0.556,0.353,0.368,2.1,13.2,7.6,14.3,0.9,2.8,9.1,28.5,1.6,1.6,3.2,0.084,2,-1.2,0.9,1.3,0,0
"184","Danny Green",2021,"SF",33,"PHI",67,67,28.3,3.3,7.9,0.41,2.5,6.3,0.402,0.7,1.6,0.44,0.57,0.4,0.6,0.784,0.8,3,3.8,1.7,1.4,0.8,1,1.8,9.5,12,0.579,0.795,0.07,3.2,11.4,7.4,8.2,2.3,2.6,10.7,13.9,1.5,3,4.5,0.114,0.1,1.2,1.4,1.6,0,0
"185","Draymond Green",2021,"PF",30,"GSW",62,62,31.4,2.7,6,0.445,0.5,2,0.274,2.1,4,0.53,0.491,1,1.3,0.78,0.9,6.2,7.1,8.9,1.7,0.8,3,3.1,6.9,13.2,0.526,0.332,0.22,3,20.9,12.1,36.5,2.5,2.3,31.1,13.1,1.1,3.3,4.4,0.109,-1.8,3.2,1.4,1.7,0,0
"186","JaMychal Green",2021,"PF",30,"DEN",55,5,19.2,3,6.5,0.463,1.4,3.4,0.403,1.6,3.1,0.529,0.569,0.8,1,0.836,1.5,3.4,4.9,0.8,0.5,0.4,0.9,2.4,8.2,13.9,0.593,0.522,0.154,9,19.9,14.4,5.9,1.2,1.9,12,17.9,1.3,1.1,2.5,0.112,-0.2,-1.7,-1.9,0,0,0
"187","Javonte Green",2021,"SG-PG",27,"TOT",38,2,11.1,1.2,2.3,0.517,0.2,0.7,0.32,1,1.7,0.594,0.562,0.7,0.9,0.722,0.6,1.1,1.7,0.4,0.6,0.1,0.5,1.1,3.3,11.4,0.601,0.281,0.404,6.1,11.2,8.6,4.7,2.7,0.9,14.7,12.6,0.4,0.4,0.8,0.092,-2.4,1.1,-1.3,0.1,0,0
"188","Jeff Green",2021,"C",34,"BRK",65,38,27.4,3.7,7.8,0.478,1.4,3.7,0.395,2.3,4.2,0.552,0.571,1.9,2.4,0.777,0.5,3.5,4,1.7,0.5,0.4,0.8,1.8,10.8,12.4,0.608,0.469,0.309,2.2,13.5,8.1,8.1,0.9,1.3,8.4,15.4,2.5,1.1,3.6,0.098,-0.4,-1,-1.4,0.3,0,0
"189","Josh Green",2021,"SG",20,"DAL",37,5,11.4,1,2.3,0.44,0.1,0.6,0.174,0.9,1.6,0.541,0.464,0.3,0.5,0.6,0.7,1.3,2,0.7,0.4,0.1,0.5,0.9,2.4,8.5,0.485,0.274,0.238,7.1,12.4,9.8,8.4,1.8,0.7,15.5,11.5,0,0.4,0.4,0.048,-3.7,0.1,-3.6,-0.2,0,0
"190","Blake Griffin",2021,"PF",31,"TOT",43,27,26.2,3.8,9,0.424,1.6,4.6,0.348,2.2,4.4,0.503,0.513,1.9,2.6,0.739,0.7,4.3,5,3.1,0.7,0.3,1.4,2.5,11.2,12.9,0.549,0.509,0.285,3.3,18,10.7,17.1,1.3,1.1,12.1,19.3,0.9,1,1.9,0.082,-0.5,-0.2,-0.8,0.3,0,0
"191","Kyle Guy",2021,"PG",23,"SAC",30,0,7.2,0.9,2.7,0.338,0.4,1.4,0.256,0.5,1.2,0.432,0.406,0.5,0.6,0.889,0.2,0.8,1,0.9,0.1,0,0.3,0.6,2.7,8.4,0.461,0.538,0.225,2.5,12.5,7.5,16.4,0.9,0,10.2,19.5,-0.1,0,-0.1,-0.015,-4.1,-2.8,-7,-0.3,0,0
"192","Rui Hachimura",2021,"PF",22,"WAS",54,54,31.4,5.4,11.3,0.477,0.8,2.4,0.323,4.6,8.9,0.519,0.511,2.3,3,0.775,0.9,4.6,5.5,1.4,0.8,0.1,1.2,2.1,13.9,11.4,0.55,0.213,0.262,2.9,15.6,9.3,6.4,1.2,0.3,9,18.2,0.7,1.3,1.9,0.055,-2,-1.5,-3.5,-0.6,0,0
"193","Ashton Hagans",2021,"PG",21,"MIN",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,-12.4,0,0,0,0,0,0,0,0,0,100,10.5,0,0,0,-0.352,-13.8,-7.9,-21.7,0,0,0
"194","Tyrese Haliburton",2021,"PG",20,"SAC",58,20,30.1,5,10.7,0.472,2.1,5.1,0.409,2.9,5.6,0.529,0.569,0.8,1,0.857,0.7,2.3,3,5.3,1.3,0.5,1.6,1.4,13,16.2,0.585,0.478,0.09,2.5,8.6,5.5,24.5,2.1,1.4,12.5,18.1,2.8,0.6,3.5,0.096,1.9,-0.9,1.1,1.4,0,0
"195","Donta Hall",2021,"PF",23,"ORL",10,0,12.6,1.5,2.3,0.652,0,0,0,1.5,2.3,0.652,0.652,1.1,1.9,0.579,1.9,2.8,4.7,0.8,0.5,0.7,0.4,1.1,4.1,21,0.654,0,0.826,15.1,23.9,19.3,9.4,1.9,5.1,11.3,12.1,0.4,0.2,0.5,0.205,0.6,1.5,2.1,0.1,0,0
"196","Josh Hall",2021,"SF",20,"OKC",20,0,14.7,1,3.9,0.244,0.2,1.6,0.097,0.8,2.4,0.34,0.263,1,1.9,0.526,0.3,2.2,2.5,1.3,0.2,0.1,1.1,1.6,3.1,-0.4,0.322,0.397,0.487,1.8,15.9,8.7,12,0.6,0.3,18.8,16.9,-1,0.2,-0.9,-0.143,-10.2,-2.3,-12.5,-0.8,0,0
"197","R.J. Hampton",2021,"PG-SG",19,"TOT",49,1,16.9,2.6,5.9,0.436,0.5,1.6,0.291,2.1,4.2,0.49,0.476,1,1.5,0.68,0.5,2.7,3.3,1.5,0.4,0.2,1,1.2,6.6,10.7,0.506,0.275,0.261,3.3,17.7,10.3,13.5,1.2,1,12.8,19.2,-0.3,0.7,0.4,0.021,-3.3,-1,-4.3,-0.5,0,0
"198","Tim Hardaway Jr.",2021,"SG",28,"DAL",67,28,28.4,5.8,13.1,0.447,3,7.6,0.396,2.8,5.5,0.518,0.562,2,2.4,0.804,0.3,3.1,3.3,1.7,0.4,0.1,0.9,1.6,16.6,15.5,0.588,0.581,0.186,1.1,11.7,6.5,9.4,0.7,0.5,6.1,23.4,2.9,1.1,4.1,0.102,1.8,-1.8,0,1,0,0
"199","James Harden",2021,"PG-SG",31,"TOT",42,42,37.1,8,17.2,0.463,2.8,7.8,0.358,5.2,9.4,0.549,0.544,6.5,7.5,0.87,0.8,7.2,8,10.9,1.2,0.7,4.1,2.3,25.2,24.5,0.616,0.453,0.438,2.6,20.6,11.9,44.4,1.5,1.6,16.7,28.8,5.1,1.5,6.6,0.204,6.1,0.4,6.5,3.3,0,0
"200","Maurice Harkless",2021,"PF-SF",27,"TOT",35,21,21,1.9,4.5,0.43,0.7,2.3,0.284,1.3,2.2,0.584,0.503,0.9,1.2,0.78,0.4,2.1,2.4,1.1,0.8,0.5,0.6,2.3,5.5,8.5,0.542,0.513,0.259,2,11,6.5,7,1.8,2.3,10.7,11.6,0.2,0.4,0.7,0.043,-3.6,-0.2,-3.7,-0.3,0,0
"201","Jared Harper",2021,"PG",23,"NYK",8,0,2,0,0.5,0,0,0.1,0,0,0.4,0,0,0.4,0.5,0.75,0,0.3,0.3,0.1,0,0,0.4,0.1,0.4,-10.8,0.26,0.25,1,0,13.5,6.8,7.7,0,0,34.2,24.3,-0.1,0,-0.1,-0.365,-16.5,-6.2,-22.8,-0.1,0,0
"202","Montrezl Harrell",2021,"C",27,"LAL",67,1,22.9,5.4,8.7,0.624,0,0.1,0,5.4,8.6,0.635,0.624,2.7,3.8,0.706,2.3,3.9,6.2,1.1,0.7,0.7,1.1,1.9,13.5,23,0.653,0.017,0.432,11.4,19,15.3,7.9,1.4,2.9,9.3,21.7,4.5,2.7,7.2,0.226,2.6,0.4,3,1.9,0,0
"203","Gary Harris",2021,"SG",26,"TOT",36,35,28.6,3.6,9.1,0.396,1.3,3.6,0.344,2.3,5.4,0.431,0.465,1.8,2.1,0.818,0.6,1.6,2.2,2,0.8,0.3,0.9,1.9,10.2,9.1,0.509,0.402,0.236,2.1,6.2,4.2,10,1.3,1,8.6,16.6,0.2,0.6,0.7,0.035,-2.9,-1.8,-4.7,-0.7,0,0
"204","Jalen Harris",2021,"SG",22,"TOR",11,0,9.9,1.5,3.5,0.436,0.8,1.6,0.5,0.7,1.9,0.381,0.551,0.5,0.5,0.833,0.3,1.1,1.4,1.2,0.5,0,0.8,1,4.4,12.4,0.576,0.462,0.154,2.9,12.6,7.6,17.8,2.7,0,17.8,20.1,0,0.1,0.1,0.061,-1.1,1.1,-0.1,0.1,0,0
"205","Joe Harris",2021,"SF",29,"BRK",69,65,31,5.2,10.2,0.505,3.1,6.4,0.475,2.1,3.8,0.555,0.654,0.7,0.9,0.778,0.6,3,3.6,1.9,0.7,0.2,0.9,2,14.1,14.1,0.663,0.628,0.089,2.3,10.1,6.4,8.4,1,0.6,7.8,16.2,4.2,1,5.2,0.117,1.7,-1.5,0.2,1.2,0,0
"206","Tobias Harris",2021,"PF",28,"PHI",60,60,32.7,7.7,15,0.515,1.4,3.4,0.401,6.4,11.6,0.548,0.56,2.9,3.3,0.893,1,5.8,6.8,3.6,0.9,0.8,1.8,2,19.7,20,0.6,0.225,0.219,3.3,19.3,11.4,17.8,1.3,2.2,9.7,23.9,4,3,7,0.172,2.8,0.6,3.4,2.7,0,0
"207","Shaquille Harrison",2021,"SG",27,"TOT",31,0,8.9,0.8,2.1,0.364,0.1,0.4,0.25,0.7,1.7,0.389,0.386,0.6,0.7,0.818,0.2,1.1,1.3,0.7,0.5,0.2,0.3,0.9,2.2,8.5,0.456,0.182,0.333,2.5,13.3,7.9,10.2,2.7,1.8,11.7,13.5,-0.1,0.4,0.3,0.053,-4.9,1.8,-3.1,-0.1,0,0
"208","Josh Hart",2021,"SF",25,"NOP",47,4,28.7,3.2,7.3,0.439,1.3,4.1,0.326,1.9,3.2,0.583,0.531,1.5,1.9,0.775,1.1,6.9,8,2.3,0.8,0.3,1,2.4,9.2,12.2,0.566,0.561,0.259,4.3,26.1,15.2,10.5,1.4,0.8,11.3,13.5,1.4,1.4,2.8,0.098,-1.1,0,-1.1,0.3,0,0
"209","Isaiah Hartenstein",2021,"C",22,"TOT",46,2,12.2,2,3.7,0.55,0,0.1,0.333,2,3.6,0.558,0.556,1,1.5,0.648,1.4,2.5,3.9,1.2,0.4,0.8,1,2.3,5.1,17.9,0.583,0.035,0.415,13.1,23.8,18.3,15.3,1.7,6.5,17.9,19.2,0.7,0.9,1.6,0.134,-2.5,1.1,-1.4,0.1,0,0
"210","Jaxson Hayes",2021,"C",20,"NOP",57,3,15.8,2.8,4.4,0.643,0.1,0.2,0.545,2.7,4.2,0.647,0.655,1.4,1.8,0.775,1.4,2.7,4.1,0.6,0.4,0.6,0.7,1.7,7.1,18.6,0.689,0.044,0.41,9.9,18.6,14.3,5.1,1.2,3.9,11.7,15.6,2.3,0.9,3.2,0.172,0.3,0.1,0.3,0.5,0,0
"211","Killian Hayes",2021,"PG",19,"DET",24,16,25.1,2.8,7.8,0.36,0.8,2.5,0.295,2,5.2,0.392,0.409,0.5,0.6,0.8,0.3,2.5,2.8,5.3,1,0.3,3.3,2.1,6.8,5.5,0.426,0.328,0.081,1.1,11.2,6.1,30.7,2,1.2,28.8,19.6,-1.6,0.6,-1,-0.083,-6.2,-0.9,-7.1,-0.8,0,0
"212","Gordon Hayward",2021,"SF",30,"CHO",44,44,34,7.1,15,0.473,1.9,4.7,0.415,5.1,10.3,0.499,0.537,3.5,4.2,0.843,0.8,5,5.9,4.1,1.2,0.3,2.1,1.7,19.6,17.6,0.584,0.312,0.281,2.7,16.2,9.3,19.4,1.7,0.9,11,23.9,2.2,1.4,3.6,0.116,1.9,-0.5,1.4,1.3,0,0
"213","Juan Hernangomez",2021,"PF",25,"MIN",49,6,17.4,2.6,5.9,0.443,1.1,3.3,0.331,1.5,2.6,0.583,0.535,1.2,1.9,0.621,0.9,3.1,4,0.7,0.4,0.1,0.5,1,7.5,12.8,0.557,0.557,0.331,5.3,20.3,12.5,5.6,1.1,0.7,6.5,17.3,0.8,0.5,1.3,0.072,-0.8,-1.9,-2.8,-0.2,0,0
"214","Willy Hernangomez",2021,"C",26,"NOP",44,9,17.4,3.1,5.5,0.556,0,0.2,0.1,3,5.3,0.575,0.558,1.2,1.8,0.663,2.5,4.4,6.9,1,0.5,0.5,0.7,1.4,7.4,19.4,0.582,0.041,0.329,15.5,27.3,21.4,8.3,1.3,2.6,10,17,1.6,0.9,2.5,0.159,0.9,-1.3,-0.4,0.3,0,0
