"","Player","Season","Pos","Age","Tm","G","GS","MP","FGM","FGA","FGP","X3PM","X3PA","X3PP","X2PM","X2PA","X2PP","EFG","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","X3PAR","FTR","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USG","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","MVP","DPOY"
"99","Gary Clark",2021,"SF",26,"TOT",37,11,17.3,1.1,3.5,0.305,0.8,2.9,0.287,0.2,0.6,0.391,0.424,0.2,0.3,0.8,0.9,2.2,3.1,0.8,0.3,0.2,0.5,0.9,3.2,6,0.439,0.824,0.076,5.2,13.4,9.2,6.4,0.9,1,11.2,10.3,-0.2,0.4,0.1,0.009,-3.9,-0.9,-4.8,-0.5,0,0
"100","Brandon Clarke",2021,"PF",24,"MEM",57,16,24.2,4.4,8.5,0.517,0.4,1.3,0.267,4,7.2,0.562,0.537,1.3,1.9,0.685,1.6,4,5.6,1.6,1,0.9,0.6,1.4,10.5,17.3,0.559,0.155,0.229,7.1,17.8,12.4,9.6,2,3.3,5.8,17.3,2.1,1.9,4.1,0.141,0.3,1,1.3,1.1,0,0
"101","Jordan Clarkson",2021,"SG",28,"UTA",65,1,26.6,6.6,15.7,0.42,3,8.8,0.343,3.6,6.9,0.517,0.515,1.8,2.1,0.896,0.7,3.4,4.1,2.4,0.9,0.2,1.7,1.6,18,16.6,0.543,0.558,0.131,2.9,12.9,8.1,15,1.6,0.5,9.3,29.6,1.3,2.3,3.6,0.101,1.6,-1,0.6,1.1,0,0
"102","Nicolas Claxton",2021,"C",21,"BRK",29,1,18,2.7,4.4,0.597,0,0.2,0.2,2.6,4.3,0.613,0.601,0.9,1.8,0.472,1.4,3.7,5.1,1,0.8,1.1,0.5,2,6.2,16.8,0.591,0.039,0.411,8.9,21.9,15.7,7.2,2,5.6,8.4,13.8,0.9,0.8,1.6,0.151,-0.5,1.1,0.6,0.3,0,0
"103","Amir Coffey",2021,"SG",23,"LAC",44,1,9,1,2.3,0.437,0.5,1.3,0.411,0.5,1.1,0.468,0.549,0.6,0.9,0.711,0.2,0.8,1,0.5,0.2,0,0.3,0.7,3.2,10.1,0.585,0.544,0.369,2.9,9.4,6.3,7.4,1.3,0,11.1,15.2,0.4,0.3,0.7,0.085,-2.1,-0.5,-2.6,-0.1,0,0
"104","John Collins",2021,"PF",23,"ATL",60,60,29.6,6.9,12.4,0.559,1.3,3.3,0.388,5.7,9.1,0.62,0.61,2.7,3.2,0.833,2,5.6,7.5,1.3,0.6,1,1.3,3.1,17.8,20.7,0.644,0.264,0.258,7.4,20.3,14,7.1,0.9,2.9,8.8,22.2,4.7,1.7,6.4,0.172,2.5,-0.4,2.1,1.9,0,0
"105","Mike Conley",2021,"PG",33,"UTA",49,49,29.8,5.7,12.7,0.446,2.7,6.7,0.407,2.9,6,0.49,0.554,2.4,2.8,0.853,0.7,2.7,3.4,6,1.4,0.2,2,1.9,16.4,19.1,0.59,0.528,0.218,2.7,9.3,6.2,30.1,2.2,0.5,12.6,23.1,3.8,2,5.8,0.192,3.5,0.8,4.2,2.3,0,0
"106","Pat Connaughton",2021,"SG",28,"MIL",66,3,22.9,2.4,5.6,0.436,1.5,3.9,0.376,1,1.7,0.577,0.568,0.4,0.6,0.757,0.9,3.9,4.9,1.2,0.7,0.3,0.5,1.5,6.8,11.3,0.58,0.699,0.1,4.5,17.4,11.1,6.4,1.4,1.3,7.7,11.5,1.8,1.7,3.5,0.11,-0.4,0.1,-0.3,0.6,0,0
"107","Quinn Cook",2021,"PG",27,"TOT",23,0,6.8,1.3,3,0.426,0.5,1.1,0.423,0.8,1.8,0.429,0.507,0.3,0.3,0.875,0.1,0.7,0.7,0.8,0.2,0,0.3,0.4,3.3,12.7,0.531,0.382,0.118,1.4,10.9,6.1,18.4,1.3,0.6,8.9,21.8,0.1,0.1,0.2,0.061,-1.2,-0.4,-1.5,0,0,0
"108","Tyler Cook",2021,"SF-PF",23,"TOT",30,1,12.3,1.9,2.9,0.644,0,0.1,0.5,1.8,2.8,0.647,0.649,0.5,1,0.452,0.8,1.9,2.7,0.5,0.3,0,0.6,1.1,4.2,12,0.631,0.023,0.356,6.9,17.6,12.2,6.2,1.1,0.2,15.2,14.1,0.3,0.3,0.6,0.079,-3,-0.4,-3.3,-0.1,0,0
