Player,Season,G,GS,MP,FGM,FGA,FGP,X3PM,X3PA,X3PP,X2PM,X2PA,X2PP,EFG,FTM,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS,X3PAR,FTR,ORBP,DRBP,TRBP,ASTP,STLP,BLKP,TOVP,USG,OWS,DWS,WS,WS48,OBPM,DBPM,BPM,VORP,MIP
A.J. Price,2011.0,-6.0,-2.0,0.5,-0.30000000000000027,0.10000000000000053,-0.05399999999999999,-0.30000000000000004,-0.10000000000000009,-0.06999999999999995,0.0,0.19999999999999973,-0.044999999999999984,-0.07400000000000001,0.0,0.30000000000000004,-0.133,0.09999999999999998,-0.2999999999999998,-0.20000000000000018,0.30000000000000027,0.0,-0.1,0.0,0.29999999999999993,-0.7999999999999998,-3.3000000000000007,-0.07600000000000001,-0.025999999999999968,0.04100000000000001,0.7999999999999998,-1.8999999999999995,-0.5999999999999996,2.1999999999999993,-0.19999999999999996,-0.1,-0.1999999999999993,0.0,-0.8,-0.10000000000000009,-0.8999999999999999,-0.045,-1.7999999999999998,-0.7000000000000001,-2.4,-0.5,0.0
A.J. Price,2012.0,-6.0,1.0,-3.0,-0.9999999999999998,-2.4000000000000004,-0.01699999999999996,-0.20000000000000007,-1.0,0.019999999999999962,-0.7,-1.4,-0.04299999999999998,-0.006000000000000005,-0.5000000000000001,-0.8,0.133,0.0,0.0,0.0,-0.20000000000000018,-0.09999999999999998,0.0,-0.40000000000000013,-0.5,-2.6,0.8000000000000007,0.0,0.03999999999999998,-0.05199999999999999,0.30000000000000027,1.6000000000000005,1.0,1.1999999999999993,0.09999999999999987,0.19999999999999998,1.5,-5.0,0.6000000000000001,-0.19999999999999996,0.39999999999999997,0.043,1.2999999999999998,0.6000000000000001,1.9,0.30000000000000004,0.0
A.J. Price,2013.0,13.0,21.0,9.499999999999998,1.4999999999999998,3.2,0.05099999999999999,0.6,1.5,0.05499999999999999,0.8,1.7000000000000002,0.04299999999999998,0.061,0.30000000000000004,0.30000000000000004,-0.010000000000000009,0.10000000000000003,0.5,0.6000000000000001,1.6,0.09999999999999998,0.1,0.40000000000000013,0.6000000000000001,3.8000000000000003,0.9000000000000004,0.046999999999999986,-0.02200000000000002,-0.05100000000000002,-0.9000000000000001,-1.200000000000001,-1.0999999999999996,2.5,-0.5999999999999999,-0.09999999999999998,-1.8000000000000007,0.3000000000000007,0.8,0.7,1.5000000000000002,0.021000000000000005,0.39999999999999997,0.09999999999999998,0.4,0.4,0.0
A.J. Price,2014.0,-29.0,-22.0,-18.9,-2.0999999999999996,-5.6,0.022999999999999965,-1.0,-2.7,-0.07699999999999996,-1.1,-2.8000000000000003,0.11500000000000005,0.0030000000000000027,-0.9,-1.0,-0.79,-0.4,-1.3,-1.6,-3.1,-0.6,-0.1,-0.8,-1.1,-6.1,-2.700000000000001,-0.03200000000000003,-0.006000000000000005,-0.107,-0.5999999999999999,2.0,0.5999999999999996,-4.899999999999999,-0.8,-0.2,0.3000000000000007,5.199999999999999,-1.1,-1.2,-2.2,-0.096,-2.1999999999999997,-2.0,-4.2,-0.6,0.0
A.J. Price,2015.0,-2.0,0.0,9.0,1.3,3.6999999999999997,-0.04099999999999998,0.39999999999999997,1.4000000000000001,-0.010000000000000009,0.8999999999999999,2.2,-0.09200000000000003,-0.05099999999999999,0.6,0.8,0.667,0.2,0.7,0.7999999999999999,1.3,0.3,0.0,0.2,0.39999999999999997,3.4999999999999996,2.8000000000000007,0.027000000000000024,-0.242,0.136,3.1999999999999997,-0.3999999999999986,1.5999999999999996,-0.1999999999999993,1.1,0.6,1.4000000000000004,-5.0,0.9,0.5,1.4,0.056999999999999995,1.5,1.2999999999999998,2.8,0.1,0.0
Aaron Brooks,2011.0,-23.0,-70.0,-13.8,-3.3,-6.299999999999999,-0.056999999999999995,-1.3,-2.4000000000000004,-0.10100000000000003,-2.0,-3.9000000000000004,-0.027000000000000024,-0.07700000000000001,-0.8999999999999999,-1.2000000000000002,0.06400000000000006,-0.39999999999999997,-1.0,-1.3,-1.4,-0.20000000000000007,-0.1,-1.0999999999999999,-0.5,-8.900000000000002,-2.9000000000000004,-0.06000000000000005,0.008000000000000007,0.014999999999999986,-0.19999999999999996,-1.3999999999999995,-0.7000000000000002,3.299999999999997,0.10000000000000009,-0.09999999999999998,-0.5,0.1999999999999993,-3.2,-1.2000000000000002,-4.4,-0.051,-2.5999999999999996,-1.1,-3.7,-2.1999999999999997,0.0
Aaron Brooks,2013.0,-6.0,8.0,-3.0,-1.0,-3.9000000000000004,0.07800000000000001,-0.29999999999999993,-1.5,0.07600000000000001,-0.7,-2.5000000000000004,0.08400000000000002,0.09800000000000003,-1.3,-1.4,-0.11699999999999999,-0.09999999999999998,0.30000000000000004,0.19999999999999996,-1.6999999999999997,0.0,0.1,-0.3999999999999999,-0.09999999999999987,-3.5999999999999996,-1.299999999999999,0.06600000000000006,0.021999999999999964,-0.07399999999999998,-0.30000000000000004,2.7,1.0999999999999996,-10.899999999999999,0.19999999999999996,0.6000000000000001,3.3000000000000007,-7.799999999999997,0.10000000000000009,-0.4,-0.30000000000000004,0.0010000000000000009,-0.5,1.3000000000000003,0.7999999999999998,0.3,0.0
Aaron Brooks,2014.0,19.0,-8.0,2.8000000000000007,0.5,2.0999999999999996,-0.05199999999999999,0.4,0.8999999999999999,0.014000000000000012,0.09999999999999987,1.1999999999999997,-0.10000000000000003,-0.04800000000000004,0.3999999999999999,0.30000000000000004,0.10499999999999998,0.39999999999999997,0.0,0.3999999999999999,1.0,0.09999999999999998,0.0,0.30000000000000004,0.19999999999999996,1.9000000000000004,0.6999999999999993,-0.03700000000000003,0.0030000000000000027,-0.0010000000000000009,1.6,-1.2000000000000002,0.3000000000000007,5.300000000000001,0.10000000000000009,-0.20000000000000007,-0.6999999999999993,2.3999999999999986,0.5,0.9,1.4000000000000001,0.026000000000000002,0.6000000000000001,0.5999999999999999,1.2000000000000002,0.4,0.0
Aaron Brooks,2015.0,10.0,9.0,1.3999999999999986,1.0,1.9000000000000004,0.019999999999999962,0.19999999999999996,0.3999999999999999,0.0,0.8000000000000003,1.5,0.031000000000000028,0.01100000000000001,0.6000000000000001,0.8,-0.041000000000000036,-0.19999999999999996,0.30000000000000004,0.10000000000000009,0.0,0.0,0.0,0.2999999999999998,0.2999999999999998,2.5999999999999996,-8.5,-0.176,-0.09399999999999997,0.0030000000000000027,-0.20000000000000018,4.2,1.7999999999999998,-6.5,0.5,-0.6,-0.10000000000000142,2.5,-1.6,-0.9,-2.4000000000000004,-0.223,-6.3,-2.5,-8.8,-0.5,0.0
Aaron Brooks,2016.0,-13.0,-21.0,-6.899999999999999,-1.5,-3.2,-0.019999999999999962,-0.5,-1.0999999999999996,-0.030000000000000027,-0.9000000000000001,-2.0,-0.01200000000000001,-0.02400000000000002,-1.1,-1.2000000000000002,-0.06699999999999995,-0.10000000000000003,-0.40000000000000013,-0.5,-0.6000000000000001,-0.29999999999999993,-0.1,-0.7,-0.3999999999999999,-4.5,7.800000000000001,0.15199999999999997,0.061,-0.031,-0.8999999999999999,-3.4000000000000004,-1.9000000000000004,9.2,-0.7000000000000002,0.7,-1.5,-0.10000000000000142,0.5,0.7,1.1,0.196,5.2,1.9999999999999998,7.200000000000001,-0.1,0.0
