"","Player","Season","Pos","Age","Tm","G","GS","MP","FGM","FGA","FGP","X3PM","X3PA","X3PP","X2PM","X2PA","X2PP","EFG","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","X3PAR","FTR","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USG","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","ROY"
"11","Cassius Stanley",2021,"SG",21,"IND",22,0,3.8,0.6,1.8,0.333,0.1,0.5,0.25,0.5,1.2,0.37,0.372,0.3,0.4,0.778,0.3,0.5,0.9,0,0,0.1,0,0.5,1.6,7.9,0.419,0.308,0.231,9.2,15.6,12.4,1.6,0.6,2,2.3,22.6,-0.1,0.1,0,-0.013,-5.8,-3.6,-9.3,-0.2,0
"12","Cassius Winston",2021,"PG",22,"WAS",21,0,4.6,0.7,1.6,0.424,0.4,0.8,0.471,0.3,0.8,0.375,0.545,0.2,0.3,0.833,0,0.4,0.4,0.6,0.1,0,0.2,0.4,2,10.9,0.575,0.515,0.182,0,9.8,4.9,16.5,1,0.9,12.3,17.3,0.1,0.1,0.1,0.065,-1.7,-1.2,-2.9,0,0
"13","Chuma Okeke",2021,"PF",22,"ORL",45,19,25.2,3,7.2,0.417,1.1,3.1,0.348,1.9,4.1,0.47,0.492,0.7,0.9,0.75,0.9,3.1,4,2.2,1.1,0.5,0.8,1.1,7.8,11.8,0.511,0.435,0.123,3.7,13.2,8.3,13.1,2.1,1.8,10,14.5,0.3,1,1.4,0.057,-1.8,0.4,-1.4,0.2,0
"14","CJ Elleby",2021,"SF",20,"POR",28,0,6.6,0.9,2.3,0.381,0.3,1.1,0.219,0.6,1.1,0.548,0.437,0.4,0.5,0.733,0.4,0.7,1.1,0.4,0.2,0.1,0.2,0.9,2.4,9.7,0.474,0.508,0.238,6.1,11.8,8.9,7.4,1.6,1.4,6.7,17.2,0.1,0.1,0.1,0.038,-3.8,-1.4,-5.2,-0.2,0
"15","Cole Anthony",2021,"PG",20,"ORL",44,31,27.1,4.5,11.5,0.395,1.2,3.6,0.329,3.4,7.9,0.425,0.447,2.1,2.5,0.83,0.8,3.8,4.6,4.1,0.6,0.4,2.1,2.1,12.4,11.8,0.491,0.312,0.221,2.9,15,8.8,24.1,1.1,1.4,14.5,23.5,-0.8,0.8,0,0,-2.1,-1.3,-3.3,-0.4,0
"16","Dakota Mathias",2021,"SG",25,"PHI",8,2,15.4,2.4,6,0.396,1,3.3,0.308,1.4,2.8,0.5,0.479,0.3,0.8,0.333,0.1,0.8,0.9,1.6,0.1,0.4,0.1,0.9,6,9.8,0.474,0.542,0.125,0.9,5.3,3.1,15.1,0.4,2.2,1.9,18,0.1,0.1,0.2,0.063,-1.9,-1.7,-3.6,0,0
"17","Daniel Oturu",2021,"C",21,"LAC",27,0,4.1,0.6,1.1,0.517,0,0,0,0.6,1,0.536,0.517,0.2,0.3,0.625,0.4,0.7,1.1,0.3,0,0.1,0.2,0.7,1.3,12.4,0.538,0.034,0.276,12.7,18.8,15.8,8.7,0.5,3.2,13.3,15.1,0.1,0.1,0.3,0.112,-3.5,-0.9,-4.4,-0.1,0
"18","Deividas Sirvydis",2021,"SG",20,"DET",19,0,6,0.4,1.5,0.276,0.3,1.1,0.286,0.1,0.4,0.25,0.379,0.2,0.3,0.5,0,1.5,1.5,0.3,0.1,0,0.2,0.5,1.3,3.1,0.395,0.724,0.207,0,27.5,13.6,6,0.9,0,11.2,13.7,-0.2,0.1,-0.1,-0.039,-6.6,-1,-7.6,-0.2,0
"19","Deni Avdija",2021,"SF",20,"WAS",54,32,23.3,2.4,5.8,0.417,1,3.1,0.315,1.4,2.7,0.535,0.502,0.5,0.8,0.644,0.4,4.4,4.9,1.2,0.6,0.3,0.6,2.6,6.3,7.6,0.515,0.538,0.144,1.9,20.2,11.1,6.4,1.2,1,9,12,0,1.2,1.2,0.045,-3.6,-0.3,-3.9,-0.6,0
"20","Desmond Bane",2021,"SG",22,"MEM",65,16,22.3,3.5,7.4,0.473,1.8,4,0.44,1.7,3.4,0.511,0.592,0.6,0.7,0.809,0.5,2.7,3.1,1.8,0.6,0.2,0.9,1.9,9.3,12.4,0.606,0.542,0.098,2.2,12.8,7.5,10.9,1.2,0.9,10.1,16.2,1.7,1.2,2.9,0.097,-0.6,-0.3,-0.9,0.4,0
"21","Devin Cannady",2021,"PG",24,"ORL",8,0,9.3,1.4,3.5,0.393,0.8,2,0.375,0.6,1.5,0.417,0.5,0.8,0.9,0.857,0,0.6,0.6,0.1,0.6,0.1,0.3,1.1,4.3,11.2,0.547,0.571,0.25,0,7.3,3.5,2.1,3.3,1.2,6,19.3,0,0.1,0.1,0.059,-4.4,1.3,-3.1,0,0
"22","Devin Vassell",2021,"SF",20,"SAS",58,6,16.6,1.9,4.6,0.418,0.9,2.3,0.381,1.1,2.3,0.455,0.513,0.6,0.8,0.841,0.4,2.4,2.8,0.9,0.7,0.3,0.3,1.4,5.4,11.2,0.543,0.5,0.164,2.5,15.4,8.9,7,2.1,1.4,6.5,13.9,0.5,1.1,1.7,0.084,-2.1,0.9,-1.2,0.2,0
"23","Devon Dotson",2021,"PG",21,"CHI",9,0,2.9,0.7,1.1,0.6,0,0.1,0,0.7,1,0.667,0.6,0,0,0,0.2,0.1,0.3,0.3,0.3,0,0,0.1,1.3,23.7,0.6,0.1,0,8.6,4.2,6.4,17.9,5.6,0,0,16.7,0.1,0,0.1,0.233,2.5,4.9,7.4,0.1,0
"24","Dylan Windler",2021,"SF",24,"CLE",31,0,16.5,1.8,4.2,0.438,0.8,2.5,0.338,1,1.7,0.585,0.538,0.7,0.9,0.778,0.6,2.8,3.5,1.1,0.6,0.4,1,1.2,5.2,10.8,0.567,0.592,0.208,4.3,19.6,11.7,9.4,1.8,2.1,18.4,14.8,0,0.5,0.5,0.044,-1.8,0.1,-1.7,0,0
"25","Elijah Hughes",2021,"SF",22,"UTA",17,0,3.6,0.6,1.8,0.333,0.5,1.4,0.348,0.1,0.4,0.286,0.467,0.2,0.2,0.75,0,0.4,0.4,0.4,0.1,0.1,0.4,0.1,1.8,7.9,0.488,0.767,0.133,0,11.5,6,13.9,0.8,1.3,15.9,26.3,-0.1,0.1,0,-0.028,-2.1,-2,-4.1,0,0
"26","Facundo Campazzo",2021,"PG",29,"DEN",63,17,21.9,1.9,4.8,0.388,1.2,3.3,0.36,0.7,1.5,0.452,0.513,1.2,1.4,0.874,0.3,1.7,2,3.5,1.2,0.2,1.1,2.1,6.2,11.8,0.567,0.694,0.286,1.7,8.9,5.3,19.9,2.8,1,17,13.1,1.6,1.5,3.1,0.109,-1.6,1.1,-0.5,0.5,0
"27","Freddie Gillespie",2021,"PF",23,"TOR",17,0,16.7,2.3,4.1,0.565,0,0,0,2.3,4.1,0.565,0.565,1.2,1.5,0.769,2,2.4,4.4,0.4,0.5,1.1,0.5,2.1,5.8,16.5,0.609,0,0.377,12.7,16.5,14.5,3.6,1.5,6.4,10.1,13.6,0.6,0.4,0.9,0.157,-1.8,0.5,-1.3,0.1,0
"28","Gabriel Deck",2021,"PF",25,"OKC",8,0,20.9,2.9,6.8,0.426,0.1,1.6,0.077,2.8,5.1,0.537,0.435,1.6,2.1,0.765,1.8,2.4,4.1,2.5,1,0,0.4,1,7.5,15.2,0.488,0.241,0.315,8.6,12,10.3,18,2.3,0,4.7,16.4,0.2,0.1,0.4,0.103,-1.3,-0.1,-1.4,0,0
"29","Grant Riller",2021,"PG",23,"CHO",6,0,3.8,1.3,1.8,0.727,0.3,0.7,0.5,1,1.2,0.857,0.818,0,0,0,0,0.2,0.2,0.5,0.2,0,0.2,0,3,29.4,0.818,0.364,0,0,4.8,2.4,26.9,2.1,0,8.3,22.5,0.1,0,0.1,0.23,7.5,2.3,9.8,0.1,0
"30","Greg Whittington",2021,"PF",27,"DEN",4,0,3,0,0.8,0,0,0.5,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.1,0,0.667,0,0,0,0,0,0,0,0,10.9,-0.1,0,-0.1,-0.259,-11.4,-6.1,-17.5,0,0
"31","Immanuel Quickley",2021,"PG",21,"NYK",61,3,19.6,3.7,9.2,0.399,1.9,4.8,0.397,1.8,4.4,0.401,0.503,2.5,2.8,0.889,0.4,1.8,2.2,2.1,0.5,0.2,0.9,1.8,11.7,16.4,0.563,0.52,0.305,2.2,9.9,6.1,16.8,1.3,1,8.2,25.8,1.9,1.4,3.3,0.133,1.9,-0.7,1.1,0.9,0
"32","Isaac Okoro",2021,"SG",20,"CLE",64,64,32.3,3.4,8,0.424,0.9,3,0.299,2.5,4.9,0.5,0.48,1.7,2.3,0.736,1,2,3,1.8,1,0.4,1.3,2.8,9.3,7.8,0.52,0.38,0.282,3.4,7.1,5.2,8.2,1.5,1,12.2,13.8,0,0.9,1,0.023,-4.2,-0.7,-4.9,-1.5,0
"33","Isaiah Joe",2021,"SG",21,"PHI",38,1,8.8,1,3,0.345,0.8,2.3,0.348,0.2,0.6,0.333,0.482,0.3,0.5,0.722,0.2,0.7,0.9,0.5,0.3,0.1,0.2,0.8,3.2,8.4,0.504,0.788,0.159,2,8.7,5.4,7.3,1.4,1.1,6.9,16.6,0,0.4,0.4,0.063,-2.8,-1.2,-4,-0.2,0
