"","Player","Season","Pos","Age","Tm","G","GS","MP","FGM","FGA","FGP","X3PM","X3PA","X3PP","X2PM","X2PA","X2PP","EFG","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","X3PAR","FTR","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USG","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","ROY"
"49","Killian Tillie",2021,"C",22,"MEM",17,0,8.5,0.8,2.6,0.318,0.4,1.6,0.259,0.4,1,0.412,0.398,0.4,0.4,0.857,0.4,0.7,1.1,0.4,0.3,0.5,0.1,1.1,2.4,8.5,0.435,0.614,0.159,4.4,9,6.6,6.1,1.7,5,2.1,14.1,0,0.2,0.2,0.058,-4,-0.1,-4.1,-0.1,0
"50","Lamar Stevens",2021,"PF",23,"CLE",40,0,12.5,1.6,3.4,0.456,0.1,0.6,0.16,1.5,2.8,0.523,0.471,0.9,1.3,0.725,0.6,1.8,2.4,0.6,0.4,0.3,0.6,1.3,4.1,10.5,0.521,0.184,0.375,5.2,16.7,10.8,7.4,1.7,2.3,12.7,15.9,0,0.4,0.4,0.043,-4,0,-4,-0.3,0
"51","LaMelo Ball",2021,"PG",19,"CHO",48,28,28.8,5.8,13,0.442,1.8,5.1,0.355,4,7.9,0.499,0.512,2.4,3.2,0.755,1.2,4.7,6,6.2,1.6,0.4,3,2.8,15.8,17.6,0.546,0.391,0.248,4.6,18,11.2,34,2.7,1.2,17,26,1,1.8,2.8,0.096,1.1,0.6,1.7,1.3,0
"52","Malachi Flynn",2021,"PG",22,"TOR",44,11,18.3,2.3,6.3,0.371,1,3.1,0.321,1.3,3.2,0.418,0.45,0.8,1,0.81,0.2,2.1,2.3,2.7,0.8,0.1,0.9,1.4,6.5,10.3,0.479,0.493,0.151,1.2,13.2,7,21.4,2,0.7,11.6,18.1,-0.1,0.7,0.6,0.038,-3.1,0.1,-3,-0.2,0
"53","Malik Fitts",2021,"PF",23,"LAC",3,0,3.7,0.3,1,0.333,0.3,0.7,0.5,0,0.3,0,0.5,0,0,0,0,1,1,0,0,0,0,1,1,2.9,0.5,0.667,0,0,29.8,15.3,0,0,0,0,12.1,0,0,0,0.049,-9.6,-0.6,-10.2,0,0
"54","Mamadi Diakite",2021,"PF",24,"MIL",12,0,8.5,1,2.4,0.414,0.1,0.6,0.143,0.9,1.8,0.5,0.431,0.5,0.5,1,0.5,1.8,2.3,0.5,0.3,0.4,0.3,1,2.6,12.1,0.49,0.241,0.207,6.4,20.9,13.9,7.3,1.8,4.4,8.7,14.2,0.1,0.2,0.2,0.1,-3.2,0.7,-2.6,0,0
"55","Markus Howard",2021,"SG",21,"DEN",34,0,3.6,0.5,1.9,0.277,0.2,1.3,0.186,0.3,0.6,0.455,0.338,0.1,0.1,0.6,0,0.4,0.4,0.4,0.1,0,0.3,0.5,1.4,-1.3,0.35,0.662,0.077,0.9,11.1,6.1,13.3,1.2,0,14.1,28,-0.6,0.1,-0.5,-0.199,-10.9,-4.5,-15.4,-0.4,0
"56","Mason Jones",2021,"SG",22,"TOT",32,1,10.4,1.6,3.8,0.423,0.8,2.1,0.364,0.9,1.8,0.491,0.52,1.3,2,0.625,0.2,1.5,1.7,1.3,0.2,0,0.9,0.8,5.3,12.2,0.556,0.537,0.52,2.2,16,8.8,19,1,0.3,16.1,23,0,0.2,0.2,0.029,-1.2,-1.2,-2.4,0,0
"57","Naji Marshall",2021,"SF",23,"NOP",29,7,20.7,2.2,5.9,0.376,0.8,2.4,0.338,1.4,3.4,0.404,0.447,1.5,2.2,0.688,0.5,3.8,4.2,2.6,0.8,0.3,0.9,1.8,6.8,11.4,0.495,0.418,0.376,2.5,19.8,11.2,16.4,1.9,1.6,11.2,15.7,0.3,0.6,0.9,0.073,-2,1.1,-0.9,0.2,0
"58","Nate Darling",2021,"SG",22,"CHO",7,0,3.7,0.3,1,0.286,0.3,1,0.286,0,0,0,0.429,0.4,0.4,1,0.1,0,0.1,0.1,0,0.1,0.1,0.1,1.3,8.2,0.541,1,0.429,4.1,0,2.1,5.1,0,3.8,10.7,15.4,0,0,0,0.039,-1.5,-2.7,-4.2,0,0
"59","Nate Hinton",2021,"SG",21,"DAL",19,0,4.4,0.7,1.8,0.4,0.2,0.8,0.267,0.5,1.1,0.5,0.457,0.4,0.5,0.7,0.1,0.4,0.5,0.4,0.3,0.1,0.3,0.3,2.1,13.2,0.495,0.429,0.286,1.3,10.4,5.9,13.9,3.5,2.2,11.3,23.4,-0.1,0.1,0.1,0.038,-2.5,1.7,-0.8,0,0
"60","Nathan Knight",2021,"PF",23,"ATL",31,0,8,1,2.8,0.352,0.2,0.9,0.172,0.8,1.9,0.441,0.381,1.4,1.6,0.843,0.8,1.2,2,0.2,0.3,0.3,0.5,0.7,3.5,13.4,0.498,0.33,0.58,10.9,16.7,13.8,4,1.8,2.8,12,22.1,0.1,0.3,0.3,0.061,-2.5,-1.6,-4.1,-0.1,0
"61","Nick Richards",2021,"PF",23,"CHO",18,0,3.5,0.2,0.5,0.444,0,0.1,0,0.2,0.4,0.5,0.444,0.4,0.6,0.636,0.2,0.4,0.6,0.1,0,0,0.2,0.4,0.8,5.5,0.542,0.111,1.222,6.8,12.2,9.5,4.1,0,0,17.8,11.5,0,0,0,0.027,-5.8,-2.9,-8.7,-0.1,0
"62","Nico Mannion",2021,"PG",19,"GSW",29,1,11.4,1.2,3.5,0.353,0.7,1.9,0.37,0.6,1.7,0.333,0.451,0.7,0.9,0.8,0.1,1.2,1.3,2.2,0.6,0,1,1,3.9,9,0.496,0.529,0.245,1,11.1,6.1,25.3,2.3,0.3,21,18.4,-0.2,0.4,0.2,0.023,-3.6,-0.4,-4,-0.2,0
"63","Obi Toppin",2021,"PF",22,"NYK",59,0,11.2,1.7,3.4,0.493,0.4,1.4,0.301,1.3,2,0.625,0.554,0.3,0.4,0.731,0.4,1.9,2.3,0.5,0.3,0.2,0.4,0.9,4.1,12.6,0.569,0.409,0.128,4.3,17.9,11.1,6.3,1.3,2,9.7,15.9,0.5,1,1.5,0.105,-1.6,0.4,-1.2,0.1,0
"64","Onyeka Okongwu",2021,"C",20,"ATL",47,3,11.5,1.7,2.7,0.635,0,0.1,0,1.7,2.6,0.65,0.635,0.7,1.1,0.66,1.1,1.9,2.9,0.3,0.4,0.6,0.6,2,4.1,15.5,0.652,0.024,0.397,10.3,17.6,14,4,1.9,4.9,14.9,14,0.9,0.7,1.6,0.141,-2.9,1,-1.9,0,0
"65","Patrick Williams",2021,"PF",19,"CHI",68,68,28,3.5,7.3,0.48,0.7,1.9,0.385,2.8,5.4,0.514,0.53,1.2,1.7,0.728,0.9,3.7,4.6,1.4,0.9,0.6,1.4,1.8,9,10.1,0.557,0.261,0.229,3.5,14.5,9,6.7,1.6,2,14.5,14.6,0.1,2.1,2.2,0.055,-2.9,0,-2.9,-0.4,0
"66","Paul Reed",2021,"PF",21,"PHI",23,0,6.2,1.3,2.5,0.534,0,0.3,0,1.3,2.3,0.596,0.534,0,0.2,0.25,0.9,1,1.9,0.3,0.3,0.5,0.4,1,2.7,18.2,0.527,0.103,0.069,15.7,18.1,16.9,7.7,2.7,7.5,14.3,21,0,0.3,0.4,0.122,-3.1,1.5,-1.6,0,0
"67","Payton Pritchard",2021,"SG",23,"BOS",63,2,18.9,2.7,6.1,0.452,1.5,3.6,0.415,1.3,2.5,0.503,0.573,0.6,0.7,0.907,0.5,1.7,2.2,1.7,0.5,0.1,0.8,1.6,7.6,12.3,0.595,0.585,0.112,2.9,10.4,6.6,12.9,1.3,0.7,11.3,16.4,1.6,0.8,2.4,0.095,-0.5,-0.9,-1.4,0.2,0
"68","Precious Achiuwa",2021,"PF",21,"MIA",58,3,11.9,1.9,3.6,0.538,0,0,0,1.9,3.6,0.538,0.538,0.9,1.8,0.515,1.2,2.2,3.4,0.5,0.3,0.5,0.7,1.5,4.8,13.9,0.546,0,0.49,11.8,20.7,16.3,6.3,1.3,4.1,13.8,19.3,0.2,1,1.2,0.083,-3.5,-0.8,-4.3,-0.4,0
