"","Player","Season","Pos","Age","Tm","G","GS","MP","FGM","FGA","FGP","X3PM","X3PA","X3PP","X2PM","X2PA","X2PP","EFG","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","X3PAR","FTR","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USG","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","SMOY"
"118","Montrezl Harrell",2021,"C",27,"LAL",67,1,22.9,5.4,8.7,0.624,0,0.1,0,5.4,8.6,0.635,0.624,2.7,3.8,0.706,2.3,3.9,6.2,1.1,0.7,0.7,1.1,1.9,13.5,23,0.653,0.017,0.432,11.4,19,15.3,7.9,1.4,2.9,9.3,21.7,4.5,2.7,7.2,0.226,2.6,0.4,3,1.9,0
"119","Jalen Harris",2021,"SG",22,"TOR",11,0,9.9,1.5,3.5,0.436,0.8,1.6,0.5,0.7,1.9,0.381,0.551,0.5,0.5,0.833,0.3,1.1,1.4,1.2,0.5,0,0.8,1,4.4,12.4,0.576,0.462,0.154,2.9,12.6,7.6,17.8,2.7,0,17.8,20.1,0,0.1,0.1,0.061,-1.1,1.1,-0.1,0.1,0
"120","Shaquille Harrison",2021,"SG",27,"TOT",31,0,8.9,0.8,2.1,0.364,0.1,0.4,0.25,0.7,1.7,0.389,0.386,0.6,0.7,0.818,0.2,1.1,1.3,0.7,0.5,0.2,0.3,0.9,2.2,8.5,0.456,0.182,0.333,2.5,13.3,7.9,10.2,2.7,1.8,11.7,13.5,-0.1,0.4,0.3,0.053,-4.9,1.8,-3.1,-0.1,0
"121","Josh Hart",2021,"SF",25,"NOP",47,4,28.7,3.2,7.3,0.439,1.3,4.1,0.326,1.9,3.2,0.583,0.531,1.5,1.9,0.775,1.1,6.9,8,2.3,0.8,0.3,1,2.4,9.2,12.2,0.566,0.561,0.259,4.3,26.1,15.2,10.5,1.4,0.8,11.3,13.5,1.4,1.4,2.8,0.098,-1.1,0,-1.1,0.3,0
"122","Isaiah Hartenstein",2021,"C",22,"TOT",46,2,12.2,2,3.7,0.55,0,0.1,0.333,2,3.6,0.558,0.556,1,1.5,0.648,1.4,2.5,3.9,1.2,0.4,0.8,1,2.3,5.1,17.9,0.583,0.035,0.415,13.1,23.8,18.3,15.3,1.7,6.5,17.9,19.2,0.7,0.9,1.6,0.134,-2.5,1.1,-1.4,0.1,0
"123","Jaxson Hayes",2021,"C",20,"NOP",57,3,15.8,2.8,4.4,0.643,0.1,0.2,0.545,2.7,4.2,0.647,0.655,1.4,1.8,0.775,1.4,2.7,4.1,0.6,0.4,0.6,0.7,1.7,7.1,18.6,0.689,0.044,0.41,9.9,18.6,14.3,5.1,1.2,3.9,11.7,15.6,2.3,0.9,3.2,0.172,0.3,0.1,0.3,0.5,0
"124","Juan Hernangomez",2021,"PF",25,"MIN",49,6,17.4,2.6,5.9,0.443,1.1,3.3,0.331,1.5,2.6,0.583,0.535,1.2,1.9,0.621,0.9,3.1,4,0.7,0.4,0.1,0.5,1,7.5,12.8,0.557,0.557,0.331,5.3,20.3,12.5,5.6,1.1,0.7,6.5,17.3,0.8,0.5,1.3,0.072,-0.8,-1.9,-2.8,-0.2,0
"125","Willy Hernangomez",2021,"C",26,"NOP",44,9,17.4,3.1,5.5,0.556,0,0.2,0.1,3,5.3,0.575,0.558,1.2,1.8,0.663,2.5,4.4,6.9,1,0.5,0.5,0.7,1.4,7.4,19.4,0.582,0.041,0.329,15.5,27.3,21.4,8.3,1.3,2.6,10,17,1.6,0.9,2.5,0.159,0.9,-1.3,-0.4,0.3,0
"126","Tyler Herro",2021,"SG",21,"MIA",51,14,30.5,5.7,13,0.441,2,5.5,0.364,3.7,7.5,0.497,0.518,1.8,2.2,0.811,0.5,4.5,4.9,3.3,0.7,0.3,1.9,1.3,15.3,13.4,0.546,0.422,0.167,1.7,16.3,9.2,17.5,1.1,1.2,11.8,23.5,0.1,1.5,1.6,0.05,-0.4,-1,-1.4,0.2,0
"127","Solomon Hill",2021,"PF",29,"ATL",68,14,21.3,1.5,4.2,0.365,1,3,0.325,0.6,1.3,0.459,0.479,0.5,0.6,0.75,0.6,2.4,3,1,0.7,0.2,0.6,1.6,4.5,6.7,0.503,0.705,0.153,3.1,12.3,7.8,6.2,1.6,0.7,11.8,10.5,0.1,1,1.1,0.037,-3,0.1,-2.9,-0.3,0
"128","Nate Hinton",2021,"SG",21,"DAL",19,0,4.4,0.7,1.8,0.4,0.2,0.8,0.267,0.5,1.1,0.5,0.457,0.4,0.5,0.7,0.1,0.4,0.5,0.4,0.3,0.1,0.3,0.3,2.1,13.2,0.495,0.429,0.286,1.3,10.4,5.9,13.9,3.5,2.2,11.3,23.4,-0.1,0.1,0.1,0.038,-2.5,1.7,-0.8,0,0
"129","Jaylen Hoard",2021,"SF",21,"OKC",17,0,16.2,2.2,4.6,0.487,0,0.5,0,2.2,4.1,0.551,0.487,1.5,2.2,0.684,1.1,2.3,3.4,1.2,0.6,0.2,0.9,1,6,13.1,0.538,0.115,0.487,7.1,15,11,10.9,1.9,1,13.7,16.9,0.1,0.2,0.4,0.064,-2.8,-0.6,-3.3,-0.1,0
"130","Aaron Holiday",2021,"PG",24,"IND",66,8,17.8,2.6,6.6,0.39,1,2.8,0.368,1.6,3.8,0.406,0.467,1,1.3,0.819,0.2,1.1,1.3,1.9,0.7,0.2,1,1.4,7.2,9.3,0.503,0.417,0.19,1.4,6.8,4.1,14.1,1.9,0.9,12.3,19.5,-0.6,0.9,0.3,0.011,-3.2,-1,-4.1,-0.6,0
